suite,case_id,backend,status,result,expected,elapsed_sec,error_type,error_message,tags,source
real,4,coso,error,,6732,0.211252,CoSoEncodingError,Constant membership constraint is unsatisfiable before CoSo encoding.,set;choose;not constraint;or constraint;benchmark,problems/real/corpus.json
real,4,asp,unsolved,,6732,0.199831,CoSoEncodingError,Constant membership constraint is unsatisfiable before CoSo encoding.,set;choose;not constraint;or constraint;benchmark,problems/real/corpus.json
real,4,essence,unsolved,,6732,0.197225,CoSoEncodingError,Constant membership constraint is unsatisfiable before CoSo encoding.,set;choose;not constraint;or constraint;benchmark,problems/real/corpus.json
real,5,wfomc,solved,36,36,0.931435,,,set;choose;tuple;index;count;benchmark,problems/real/corpus.json
real,5,propositionalwfomc,error,,36,2.347488,GanakError,ganak exited with code 255,set;choose;tuple;index;count;benchmark,problems/real/corpus.json
real,5,coso,solved,36,36,0.190340,,,set;choose;tuple;index;count;benchmark,problems/real/corpus.json
real,5,asp,solved,36,36,0.135180,,,set;choose;tuple;index;count;benchmark,problems/real/corpus.json
real,5,essence,solved,36,36,1.951980,,,set;choose;tuple;index;count;benchmark,problems/real/corpus.json
real,6,wfomc,solved,200,200,1.097863,,,bag;composition;index;size constraint;benchmark,problems/real/corpus.json
real,6,propositionalwfomc,error,,200,0.845006,GanakError,ganak exited with code 255,bag;composition;index;size constraint;benchmark,problems/real/corpus.json
real,6,coso,error,,200,0.129254,CoSoEncodingError,CoSo backend only supports count atoms on the target.,bag;composition;index;size constraint;benchmark,problems/real/corpus.json
real,6,asp,unsolved,,200,0.107712,CoSoEncodingError,CoSo backend only supports count atoms on the target.,bag;composition;index;size constraint;benchmark,problems/real/corpus.json
real,6,essence,unsolved,,200,0.107882,CoSoEncodingError,CoSo backend only supports count atoms on the target.,bag;composition;index;size constraint;benchmark,problems/real/corpus.json
real,7,wfomc,solved,1440,1440,0.731083,,,set;sequence;together;benchmark,problems/real/corpus.json
real,7,propositionalwfomc,error,,1440,3.236751,GanakError,ganak exited with code 255,set;sequence;together;benchmark,problems/real/corpus.json
real,7,coso,error,,1440,0.146803,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,set;sequence;together;benchmark,problems/real/corpus.json
real,7,asp,unsolved,,1440,0.136151,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,set;sequence;together;benchmark,problems/real/corpus.json
real,7,essence,unsolved,,1440,0.128060,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,set;sequence;together;benchmark,problems/real/corpus.json
real,8,wfomc,solved,14400,14400,2.114333,,,set;circle;together;benchmark,problems/real/corpus.json
real,8,propositionalwfomc,error,,14400,4.722804,GanakError,ganak exited with code 255,set;circle;together;benchmark,problems/real/corpus.json
real,8,coso,error,,14400,0.149777,CoSoEncodingError,CoSo backend does not support Cofola circle objects.,set;circle;together;benchmark,problems/real/corpus.json
real,8,asp,unsolved,,14400,0.136378,CoSoEncodingError,CoSo backend does not support Cofola circle objects.,set;circle;together;benchmark,problems/real/corpus.json
real,8,essence,unsolved,,14400,0.134082,CoSoEncodingError,CoSo backend does not support Cofola circle objects.,set;circle;together;benchmark,problems/real/corpus.json
real,11,wfomc,solved,28,28,0.512706,,,bag;composition;benchmark,problems/real/corpus.json
real,11,propositionalwfomc,error,,28,0.430850,GanakError,ganak exited with code 255,bag;composition;benchmark,problems/real/corpus.json
real,11,coso,solved,28,28,0.129314,,,bag;composition;benchmark,problems/real/corpus.json
real,11,asp,unsolved,10,28,0.113755,WrongAnswer,"expected 28, got 10",bag;composition;benchmark,problems/real/corpus.json
real,11,essence,unsolved,10,28,0.800543,WrongAnswer,"expected 28, got 10",bag;composition;benchmark,problems/real/corpus.json
real,12,wfomc,solved,540,540,0.358657,,,set;composition;none_empty,problems/real/corpus.json
real,12,propositionalwfomc,error,,540,0.462127,GanakError,ganak exited with code 255,set;composition;none_empty,problems/real/corpus.json
real,12,coso,solved,540,540,0.187125,,,set;composition;none_empty,problems/real/corpus.json
real,12,asp,unsolved,0,540,0.166703,WrongAnswer,"expected 540, got 0",set;composition;none_empty,problems/real/corpus.json
real,12,essence,unsolved,,540,0.421862,RuntimeError,Error:,set;composition;none_empty,problems/real/corpus.json
real,13,wfomc,solved,6,6,0.428074,,,bag;composition,problems/real/corpus.json
real,13,propositionalwfomc,error,,6,0.377876,GanakError,ganak exited with code 255,bag;composition,problems/real/corpus.json
real,13,coso,solved,6,6,0.125321,,,bag;composition,problems/real/corpus.json
real,13,asp,unsolved,4,6,0.121508,WrongAnswer,"expected 6, got 4",bag;composition,problems/real/corpus.json
real,13,essence,unsolved,4,6,0.796706,WrongAnswer,"expected 6, got 4",bag;composition,problems/real/corpus.json
real,14,wfomc,solved,9240,9240,0.298449,,,set;choose;multiple choosing,problems/real/corpus.json
real,14,propositionalwfomc,error,,9240,0.247019,GanakError,ganak exited with code 255,set;choose;multiple choosing,problems/real/corpus.json
real,14,coso,solved,9240,9240,0.167132,,,set;choose;multiple choosing,problems/real/corpus.json
real,14,asp,solved,9240,9240,0.165655,,,set;choose;multiple choosing,problems/real/corpus.json
real,14,essence,solved,9240,9240,3.489189,,,set;choose;multiple choosing,problems/real/corpus.json
real,15,wfomc,solved,729,729,0.290132,,,set;composition,problems/real/corpus.json
real,15,propositionalwfomc,error,,729,0.392132,GanakError,ganak exited with code 255,set;composition,problems/real/corpus.json
real,15,coso,solved,729,729,0.125991,,,set;composition,problems/real/corpus.json
real,15,asp,unsolved,0,729,0.121297,WrongAnswer,"expected 729, got 0",set;composition,problems/real/corpus.json
real,15,essence,unsolved,540,729,1.870797,WrongAnswer,"expected 729, got 540",set;composition,problems/real/corpus.json
real,18,wfomc,solved,12,12,0.543127,,,set;choose;tuple;index;in,problems/real/corpus.json
real,18,propositionalwfomc,error,,12,1.018302,GanakError,ganak exited with code 255,set;choose;tuple;index;in,problems/real/corpus.json
real,18,coso,solved,12,12,0.172322,,,set;choose;tuple;index;in,problems/real/corpus.json
real,18,asp,solved,12,12,0.131516,,,set;choose;tuple;index;in,problems/real/corpus.json
real,18,essence,solved,12,12,1.152153,,,set;choose;tuple;index;in,problems/real/corpus.json
real,19,wfomc,solved,4,4,0.515939,,,bag;partition,problems/real/corpus.json
real,19,propositionalwfomc,error,,4,0.407662,GanakError,ganak exited with code 255,bag;partition,problems/real/corpus.json
real,19,coso,solved,4,4,0.119244,,,bag;partition,problems/real/corpus.json
real,19,asp,unsolved,,4,0.113349,BaselineUnsupportedError,ASP baseline translator does not support partition.,bag;partition,problems/real/corpus.json
real,19,essence,unsolved,1,4,0.626731,WrongAnswer,"expected 4, got 1",bag;partition,problems/real/corpus.json
real,20,wfomc,solved,10,10,0.235840,,,set;choose,problems/real/corpus.json
real,20,propositionalwfomc,error,,10,0.213792,GanakError,ganak exited with code 255,set;choose,problems/real/corpus.json
real,20,coso,solved,10,10,0.133576,,,set;choose,problems/real/corpus.json
real,20,asp,solved,10,10,0.119568,,,set;choose,problems/real/corpus.json
real,20,essence,solved,10,10,1.278983,,,set;choose,problems/real/corpus.json
real,21,wfomc,solved,15,15,0.495725,,,bag;choose_replace;benchmark,problems/real/corpus.json
real,21,propositionalwfomc,error,,15,0.459873,GanakError,ganak exited with code 255,bag;choose_replace;benchmark,problems/real/corpus.json
real,21,coso,wrong,0,15,0.137494,WrongAnswer,"expected 15, got 0",bag;choose_replace;benchmark,problems/real/corpus.json
real,21,asp,solved,15,15,0.111449,,,bag;choose_replace;benchmark,problems/real/corpus.json
real,21,essence,solved,15,15,0.852474,,,bag;choose_replace;benchmark,problems/real/corpus.json
real,22,wfomc,solved,36,36,0.399181,,,set;choose;multiple choosing;size constraint;intersection,problems/real/corpus.json
real,22,propositionalwfomc,error,,36,0.617470,GanakError,ganak exited with code 255,set;choose;multiple choosing;size constraint;intersection,problems/real/corpus.json
real,22,coso,solved,36,36,0.302518,,,set;choose;multiple choosing;size constraint;intersection,problems/real/corpus.json
real,22,asp,solved,36,36,0.208217,,,set;choose;multiple choosing;size constraint;intersection,problems/real/corpus.json
real,22,essence,solved,36,36,2.590954,,,set;choose;multiple choosing;size constraint;intersection,problems/real/corpus.json
real,23,wfomc,solved,10080,10080,0.368508,,,set;sequence;together,problems/real/corpus.json
real,23,propositionalwfomc,error,,10080,1.654416,GanakError,ganak exited with code 255,set;sequence;together,problems/real/corpus.json
real,23,coso,error,,10080,0.139697,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,set;sequence;together,problems/real/corpus.json
real,23,asp,unsolved,,10080,0.119647,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,set;sequence;together,problems/real/corpus.json
real,23,essence,unsolved,,10080,0.127331,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,set;sequence;together,problems/real/corpus.json
real,24,wfomc,solved,1296540,1296540,0.703578,,,set;choose;multiple choosing;second order logic,problems/real/corpus.json
real,24,propositionalwfomc,error,,1296540,0.316305,GanakError,ganak exited with code 255,set;choose;multiple choosing;second order logic,problems/real/corpus.json
real,24,coso,error,,1296540,0.242336,CoSoEncodingError,"CoSo backend supports exactly one target configuration per component; found 3 (#7, #8, #10).",set;choose;multiple choosing;second order logic,problems/real/corpus.json
real,24,asp,unsolved,,1296540,0.227517,CoSoEncodingError,"CoSo backend supports exactly one target configuration per component; found 3 (#7, #8, #10).",set;choose;multiple choosing;second order logic,problems/real/corpus.json
real,24,essence,unsolved,,1296540,2.594873,CoSoEncodingError,"CoSo backend supports exactly one target configuration per component; found 3 (#7, #8, #10).",set;choose;multiple choosing;second order logic,problems/real/corpus.json
real,25,wfomc,solved,72,72,0.361367,,,set;choose;multiple choosing,problems/real/corpus.json
real,25,propositionalwfomc,error,,72,0.267991,GanakError,ganak exited with code 255,set;choose;multiple choosing,problems/real/corpus.json
real,25,coso,solved,72,72,0.191102,,,set;choose;multiple choosing,problems/real/corpus.json
real,25,asp,solved,72,72,0.175649,,,set;choose;multiple choosing,problems/real/corpus.json
real,25,essence,solved,72,72,3.149276,,,set;choose;multiple choosing,problems/real/corpus.json
real,26,wfomc,solved,13,13,2.994096,,,set;choose;or constraint;subset;benchmark,problems/real/corpus.json
real,26,propositionalwfomc,error,,13,0.600031,GanakError,ganak exited with code 255,set;choose;or constraint;subset;benchmark,problems/real/corpus.json
real,26,coso,wrong,0,13,2.074852,WrongAnswer,"expected 13, got 0",set;choose;or constraint;subset;benchmark,problems/real/corpus.json
real,26,asp,solved,13,13,0.319909,,,set;choose;or constraint;subset;benchmark,problems/real/corpus.json
real,26,essence,unsolved,,13,3.707920,RuntimeError,Conjure did not produce model000001.solutions,set;choose;or constraint;subset;benchmark,problems/real/corpus.json
real,27,wfomc,solved,15,15,0.235274,,,set;choose,problems/real/corpus.json
real,27,propositionalwfomc,error,,15,0.212432,GanakError,ganak exited with code 255,set;choose,problems/real/corpus.json
real,27,coso,solved,15,15,0.133806,,,set;choose,problems/real/corpus.json
real,27,asp,solved,15,15,0.120554,,,set;choose,problems/real/corpus.json
real,27,essence,solved,15,15,1.369562,,,set;choose,problems/real/corpus.json
real,28,wfomc,solved,243,243,0.296695,,,set;composition,problems/real/corpus.json
real,28,propositionalwfomc,error,,243,0.356775,GanakError,ganak exited with code 255,set;composition,problems/real/corpus.json
real,28,coso,solved,243,243,0.127885,,,set;composition,problems/real/corpus.json
real,28,asp,unsolved,0,243,0.109220,WrongAnswer,"expected 243, got 0",set;composition,problems/real/corpus.json
real,28,essence,unsolved,150,243,1.272728,WrongAnswer,"expected 243, got 150",set;composition,problems/real/corpus.json
real,29,wfomc,solved,720,720,0.511685,,,set;sequence;together;leq,problems/real/corpus.json
real,29,propositionalwfomc,error,,720,2.406758,GanakError,ganak exited with code 255,set;sequence;together;leq,problems/real/corpus.json
real,29,coso,error,,720,0.167982,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,set;sequence;together;leq,problems/real/corpus.json
real,29,asp,unsolved,,720,0.138475,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,set;sequence;together;leq,problems/real/corpus.json
real,29,essence,unsolved,,720,0.144977,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,set;sequence;together;leq,problems/real/corpus.json
real,30,wfomc,solved,25200,25200,1.177309,,,set;choose;tuple;multiple choosing;difference,problems/real/corpus.json
real,30,propositionalwfomc,error,,25200,12.546102,GanakError,ganak exited with code 255,set;choose;tuple;multiple choosing;difference,problems/real/corpus.json
real,30,coso,error,,25200,0.214905,CoSoEncodingError,"CoSo backend supports exactly one target configuration per component; found 3 (male_roles_permute, female_roles_permute, other_roles_permute).",set;choose;tuple;multiple choosing;difference,problems/real/corpus.json
real,30,asp,unsolved,,25200,0.183708,CoSoEncodingError,"CoSo backend supports exactly one target configuration per component; found 3 (male_roles_permute, female_roles_permute, other_roles_permute).",set;choose;tuple;multiple choosing;difference,problems/real/corpus.json
real,30,essence,unsolved,,25200,0.192717,CoSoEncodingError,"CoSo backend supports exactly one target configuration per component; found 3 (male_roles_permute, female_roles_permute, other_roles_permute).",set;choose;tuple;multiple choosing;difference,problems/real/corpus.json
real,31,wfomc,solved,12,12,0.368113,,,set;sequence;next_to;not constraint;benchmark,problems/real/corpus.json
real,31,propositionalwfomc,error,,12,0.662326,GanakError,ganak exited with code 255,set;sequence;next_to;not constraint;benchmark,problems/real/corpus.json
real,31,coso,error,,12,0.126149,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,set;sequence;next_to;not constraint;benchmark,problems/real/corpus.json
real,31,asp,unsolved,,12,0.115572,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,set;sequence;next_to;not constraint;benchmark,problems/real/corpus.json
real,31,essence,unsolved,,12,0.115190,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,set;sequence;next_to;not constraint;benchmark,problems/real/corpus.json
real,32,wfomc,solved,21,21,0.562262,,,bag;tuple,problems/real/corpus.json
real,32,propositionalwfomc,error,,21,1.924977,GanakError,ganak exited with code 255,bag;tuple,problems/real/corpus.json
real,32,coso,solved,21,21,0.136547,,,bag;tuple,problems/real/corpus.json
real,32,asp,solved,21,21,0.125636,,,bag;tuple,problems/real/corpus.json
real,32,essence,solved,21,21,0.889099,,,bag;tuple,problems/real/corpus.json
real,33,wfomc,solved,960,960,0.523200,,,set;circle;next_to;not constraint;benchmark,problems/real/corpus.json
real,33,propositionalwfomc,error,,960,3.540344,GanakError,ganak exited with code 255,set;circle;next_to;not constraint;benchmark,problems/real/corpus.json
real,33,coso,error,,960,0.144978,CoSoEncodingError,CoSo backend does not support Cofola circle objects.,set;circle;next_to;not constraint;benchmark,problems/real/corpus.json
real,33,asp,unsolved,,960,0.121196,CoSoEncodingError,CoSo backend does not support Cofola circle objects.,set;circle;next_to;not constraint;benchmark,problems/real/corpus.json
real,33,essence,unsolved,,960,0.130525,CoSoEncodingError,CoSo backend does not support Cofola circle objects.,set;circle;next_to;not constraint;benchmark,problems/real/corpus.json
real,34,wfomc,solved,3,3,0.428598,,,bag;sequence;pred;not constraint;benchmark,problems/real/corpus.json
real,34,propositionalwfomc,error,,3,2.194687,GanakError,ganak exited with code 255,bag;sequence;pred;not constraint;benchmark,problems/real/corpus.json
real,34,coso,error,,3,0.132270,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,bag;sequence;pred;not constraint;benchmark,problems/real/corpus.json
real,34,asp,unsolved,,3,0.110017,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,bag;sequence;pred;not constraint;benchmark,problems/real/corpus.json
real,34,essence,unsolved,,3,0.112587,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,bag;sequence;pred;not constraint;benchmark,problems/real/corpus.json
real,35,wfomc,solved,60,60,0.569801,,,bag;tuple;index;in,problems/real/corpus.json
real,35,propositionalwfomc,error,,60,1.890997,GanakError,ganak exited with code 255,bag;tuple;index;in,problems/real/corpus.json
real,35,coso,solved,60,60,0.183371,,,bag;tuple;index;in,problems/real/corpus.json
real,35,asp,unsolved,,60,100.107046,TimeoutError,Timed out after 100.000s,bag;tuple;index;in,problems/real/corpus.json
real,35,essence,solved,60,60,1.241779,,,bag;tuple;index;in,problems/real/corpus.json
real,36,wfomc,solved,240,240,0.574610,,,set;tuple;index;in,problems/real/corpus.json
real,36,propositionalwfomc,error,,240,3.079259,GanakError,ganak exited with code 255,set;tuple;index;in,problems/real/corpus.json
real,36,coso,solved,240,240,0.202384,,,set;tuple;index;in,problems/real/corpus.json
real,36,asp,solved,240,240,0.158055,,,set;tuple;index;in,problems/real/corpus.json
real,36,essence,solved,240,240,1.733055,,,set;tuple;index;in,problems/real/corpus.json
real,38,wfomc,solved,3,3,0.419050,,,bag;partition,problems/real/corpus.json
real,38,propositionalwfomc,error,,3,0.375649,GanakError,ganak exited with code 255,bag;partition,problems/real/corpus.json
real,38,coso,solved,3,3,0.128590,,,bag;partition,problems/real/corpus.json
real,38,asp,unsolved,,3,0.116672,BaselineUnsupportedError,ASP baseline translator does not support partition.,bag;partition,problems/real/corpus.json
real,38,essence,unsolved,1,3,0.630486,WrongAnswer,"expected 3, got 1",bag;partition,problems/real/corpus.json
real,39,wfomc,solved,720,720,0.380534,,,set;circle;together,problems/real/corpus.json
real,39,propositionalwfomc,error,,720,1.668690,GanakError,ganak exited with code 255,set;circle;together,problems/real/corpus.json
real,39,coso,error,,720,0.154510,CoSoEncodingError,CoSo backend does not support Cofola circle objects.,set;circle;together,problems/real/corpus.json
real,39,asp,unsolved,,720,0.139943,CoSoEncodingError,CoSo backend does not support Cofola circle objects.,set;circle;together,problems/real/corpus.json
real,39,essence,unsolved,,720,0.129692,CoSoEncodingError,CoSo backend does not support Cofola circle objects.,set;circle;together,problems/real/corpus.json
real,40,wfomc,solved,560,560,0.570855,,,bag;choose_replace_permute;sequence;pred;count pred,problems/real/corpus.json
real,40,propositionalwfomc,error,,560,9.572218,GanakError,ganak exited with code 255,bag;choose_replace_permute;sequence;pred;count pred,problems/real/corpus.json
real,40,coso,error,,560,0.156419,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,bag;choose_replace_permute;sequence;pred;count pred,problems/real/corpus.json
real,40,asp,unsolved,,560,0.134690,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,bag;choose_replace_permute;sequence;pred;count pred,problems/real/corpus.json
real,40,essence,unsolved,,560,0.140322,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,bag;choose_replace_permute;sequence;pred;count pred,problems/real/corpus.json
real,41,wfomc,solved,1386,1386,0.345469,,,set;choose;size constraint;intersection,problems/real/corpus.json
real,41,propositionalwfomc,error,,1386,0.717561,GanakError,ganak exited with code 255,set;choose;size constraint;intersection,problems/real/corpus.json
real,41,coso,solved,1386,1386,0.233480,,,set;choose;size constraint;intersection,problems/real/corpus.json
real,41,asp,solved,1386,1386,0.607896,,,set;choose;size constraint;intersection,problems/real/corpus.json
real,41,essence,solved,1386,1386,4.051649,,,set;choose;size constraint;intersection,problems/real/corpus.json
real,42,wfomc,solved,17280,17280,0.390905,,,set;sequence;together,problems/real/corpus.json
real,42,propositionalwfomc,error,,17280,2.029020,GanakError,ganak exited with code 255,set;sequence;together,problems/real/corpus.json
real,42,coso,error,,17280,0.152901,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,set;sequence;together,problems/real/corpus.json
real,42,asp,unsolved,,17280,0.136449,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,set;sequence;together,problems/real/corpus.json
real,42,essence,unsolved,,17280,0.128162,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,set;sequence;together,problems/real/corpus.json
real,43,wfomc,solved,15,15,0.249633,,,set;choose;size constraint,problems/real/corpus.json
real,43,propositionalwfomc,error,,15,0.218579,GanakError,ganak exited with code 255,set;choose;size constraint,problems/real/corpus.json
real,43,coso,wrong,11,15,0.182269,WrongAnswer,"expected 15, got 11",set;choose;size constraint,problems/real/corpus.json
real,43,asp,unsolved,11,15,0.156819,WrongAnswer,"expected 15, got 11",set;choose;size constraint,problems/real/corpus.json
real,43,essence,unsolved,11,15,3.418697,WrongAnswer,"expected 15, got 11",set;choose;size constraint,problems/real/corpus.json
real,44,wfomc,solved,672,672,0.304130,,,set;choose;intersection;size constraint,problems/real/corpus.json
real,44,propositionalwfomc,error,,672,0.554857,GanakError,ganak exited with code 255,set;choose;intersection;size constraint,problems/real/corpus.json
real,44,coso,error,,672,0.183874,AttributeError,'NoneType' object has no attribute 'copy',set;choose;intersection;size constraint,problems/real/corpus.json
real,44,asp,solved,672,672,0.201263,,,set;choose;intersection;size constraint,problems/real/corpus.json
real,44,essence,solved,672,672,4.241612,,,set;choose;intersection;size constraint,problems/real/corpus.json
real,45,wfomc,solved,2880,2880,0.374126,,,set;sequence;together,problems/real/corpus.json
real,45,propositionalwfomc,error,,2880,1.652372,GanakError,ganak exited with code 255,set;sequence;together,problems/real/corpus.json
real,45,coso,error,,2880,0.141377,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,set;sequence;together,problems/real/corpus.json
real,45,asp,unsolved,,2880,0.129975,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,set;sequence;together,problems/real/corpus.json
real,45,essence,unsolved,,2880,0.128741,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,set;sequence;together,problems/real/corpus.json
real,46,wfomc,solved,25,25,2.421999,,,bag;tuple;index;compare element;or constraint;benchmark,problems/real/corpus.json
real,46,propositionalwfomc,error,,25,2.772756,GanakError,ganak exited with code 255,bag;tuple;index;compare element;or constraint;benchmark,problems/real/corpus.json
real,46,coso,wrong,90,25,0.385369,WrongAnswer,"expected 25, got 90",bag;tuple;index;compare element;or constraint;benchmark,problems/real/corpus.json
real,46,asp,unsolved,,25,100.106469,TimeoutError,Timed out after 100.000s,bag;tuple;index;compare element;or constraint;benchmark,problems/real/corpus.json
real,46,essence,unsolved,,25,0.408275,RuntimeError,Error:,bag;tuple;index;compare element;or constraint;benchmark,problems/real/corpus.json
real,47,wfomc,solved,144,144,0.356166,,,set;circle;next_to;not constraint,problems/real/corpus.json
real,47,propositionalwfomc,error,,144,1.075441,GanakError,ganak exited with code 255,set;circle;next_to;not constraint,problems/real/corpus.json
real,47,coso,error,,144,0.148863,CoSoEncodingError,CoSo backend does not support Cofola circle objects.,set;circle;next_to;not constraint,problems/real/corpus.json
real,47,asp,unsolved,,144,0.128952,CoSoEncodingError,CoSo backend does not support Cofola circle objects.,set;circle;next_to;not constraint,problems/real/corpus.json
real,47,essence,unsolved,,144,0.134540,CoSoEncodingError,CoSo backend does not support Cofola circle objects.,set;circle;next_to;not constraint,problems/real/corpus.json
real,48,wfomc,solved,35,35,0.556689,,,bag;tuple,problems/real/corpus.json
real,48,propositionalwfomc,error,,35,1.948013,GanakError,ganak exited with code 255,bag;tuple,problems/real/corpus.json
real,48,coso,solved,35,35,0.132195,,,bag;tuple,problems/real/corpus.json
real,48,asp,solved,35,35,0.130202,,,bag;tuple,problems/real/corpus.json
real,48,essence,solved,35,35,0.905790,,,bag;tuple,problems/real/corpus.json
real,49,wfomc,solved,12441600,12441600,0.723622,,,set;tuple,problems/real/corpus.json
real,49,propositionalwfomc,error,,12441600,1.439056,GanakError,ganak exited with code 255,set;tuple,problems/real/corpus.json
real,49,coso,solved,12441600,12441600,0.212161,,,set;tuple,problems/real/corpus.json
real,49,asp,solved,12441600,12441600,0.259556,,,set;tuple,problems/real/corpus.json
real,49,essence,solved,12441600,12441600,4.497046,,,set;tuple,problems/real/corpus.json
real,50,wfomc,solved,34650,34650,2.334981,,,bag;tuple,problems/real/corpus.json
real,50,propositionalwfomc,error,,34650,7.440016,GanakError,ganak exited with code 255,bag;tuple,problems/real/corpus.json
real,50,coso,solved,34650,34650,0.141051,,,bag;tuple,problems/real/corpus.json
real,50,asp,unsolved,,34650,100.065676,TimeoutError,Timed out after 100.000s,bag;tuple,problems/real/corpus.json
